algorithm,distance_m,throughput_mbps,runs
Reinforce,19.000000,23.762830,20
Reinforce,19.250000,23.751480,20
Reinforce,19.500000,23.752615,20
Reinforce,19.750000,23.763970,20
Reinforce,20.000000,23.745805,20
Reinforce,20.250000,23.756030,20
Reinforce,20.500000,23.744670,20
Reinforce,20.750000,23.744675,20
Reinforce,21.000000,23.736725,20
Reinforce,21.250000,23.696965,20
Reinforce,21.500000,23.660615,20
Reinforce,21.750000,23.582235,20
Reinforce,22.000000,23.415235,20
Reinforce,22.250000,23.178950,20
Reinforce,22.500000,22.787025,20
Reinforce,22.750000,22.307630,20
Reinforce,23.000000,21.351130,20
Reinforce,23.250000,19.541465,20
Reinforce,23.500000,17.743165,20
Reinforce,23.750000,17.749975,20
Reinforce,24.000000,17.760210,20
Reinforce,24.250000,17.747705,20
Reinforce,24.500000,17.749985,20
Reinforce,24.750000,17.752255,20
Reinforce,25.000000,17.747705,20
Reinforce,25.250000,17.746575,20
Reinforce,25.500000,17.745445,20
Reinforce,25.750000,17.753390,20
Reinforce,26.000000,17.749985,20
Reinforce,26.250000,17.753390,20
Reinforce,26.500000,17.760200,20
Reinforce,26.750000,17.751115,20
Reinforce,27.000000,17.746570,20
Reinforce,27.250000,17.743170,20
Reinforce,27.500000,17.736350,20
Reinforce,27.750000,17.736360,20
Reinforce,28.000000,17.704565,20
Reinforce,28.250000,17.695480,20
Reinforce,28.500000,17.653440,20
Reinforce,28.750000,17.598910,20
Reinforce,29.000000,17.505765,20
Reinforce,29.250000,17.396705,20
Reinforce,29.500000,17.295600,20
Reinforce,29.750000,17.007055,20
Reinforce,30.000000,16.677615,20
Reinforce,30.250000,16.270940,20
Reinforce,30.500000,15.655215,20
Reinforce,30.750000,14.802075,20
Reinforce,31.000000,13.424115,20
Reinforce,31.250000,11.801915,20
Reinforce,31.500000,11.805320,20
Reinforce,31.750000,11.807590,20
Reinforce,32.000000,11.801915,20
Reinforce,32.250000,11.812130,20
Reinforce,32.500000,11.803050,20
Reinforce,32.750000,11.804185,20
Reinforce,33.000000,11.806455,20
Reinforce,33.250000,11.810995,20
Reinforce,33.500000,11.800780,20
Reinforce,33.750000,11.797370,20
Reinforce,34.000000,11.807590,20
Reinforce,34.250000,11.797360,20
Reinforce,34.500000,11.793970,20
Reinforce,34.750000,11.793965,20
Reinforce,35.000000,11.788290,20
Reinforce,35.250000,11.774645,20
Reinforce,35.500000,11.767840,20
Reinforce,35.750000,11.736015,20
Reinforce,36.000000,11.714435,20
Reinforce,36.250000,11.680365,20
Reinforce,36.500000,11.611060,20
Reinforce,36.750000,11.513365,20
Reinforce,37.000000,11.416805,20
Reinforce,37.250000,11.267990,20
Reinforce,37.500000,11.035105,20
Reinforce,37.750000,10.802225,20
Reinforce,38.000000,10.440975,20
Reinforce,38.250000,9.934316,20
Reinforce,38.500000,9.357232,20
Reinforce,38.750000,8.648368,20
Reinforce,39.000000,7.802048,20
Reinforce,39.250000,6.390000,20
Reinforce,39.500000,5.795872,20
Reinforce,39.750000,5.803824,20
Reinforce,40.000000,5.799280,20
Reinforce,40.250000,5.803824,20
Reinforce,40.500000,5.801552,20
Reinforce,40.750000,5.801552,20
